LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
3,2,2,1,5,4,4,4,5,5,4,1000,46,3,3,M,18 to 25,4.58352307,0.5757575758,0.8958807675,,,,
3,2,2,1,5,1,2,3,1,1,1,323,41,3,4,F,12 to 17,1.32951797,0.4242424242,0.0823794925,,,,
3,2,2,1,5,4,5,5,5,4,5,1000,44,4,5,M,18 to 25,4.39441077,0.5151515152,0.8486026925,,,,
3,2,2,1,5,3,3,3,4,3,3,1000,41,4,6,F,18 to 25,3.12360583,0.4242424242,0.5309014575,,,,
3,2,2,1,5,3,3,3,5,4,4,1000,43,4,7,F,18 to 25,3.76721952,0.4848484848,0.69180488,,,,
3,2,2,1,5,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,5,0.5454545455,1,,,,
3,2,2,1,5,4,5,5,5,5,5,324,45,5,9,F,18 to 25,4.85432801,0.5454545455,0.9635820025,,,,
3,2,2,1,5,5,4,3,4,5,4,1000,42,4,10,F,12 to 17,4.48678558,0.4545454545,0.871696395,,,,
3,2,2,1,5,5,4,4,5,4,5,1000,44,2,11,M,18 to 25,4.32936844,0.5151515152,0.83234211,,,,
3,2,2,1,5,4,4,3,2,3,3,1000,43,4,12,M,18 to 25,3.11397683,0.4848484848,0.5284942075,,,,
3,2,2,1,5,5,5,5,5,5,5,1000,37,5,13,M,18 to 25,5,0.303030303,1,,,,
3,2,2,1,5,5,4,4,5,5,5,1000,42,5,14,F,18 to 25,4.78928568,0.4545454545,0.94732142,,,,
3,2,2,1,5,5,4,4,5,5,5,1000,41,3,15,F,18 to 25,4.78928568,0.4242424242,0.94732142,,,,
3,2,2,1,5,4,3,3,4,5,4,1000,38,4,16,F,18 to 25,4.24920292,0.3333333333,0.81230073,,,,
3,2,2,1,5,1,5,4,4,4,4,1000,40,3,17,M,18 to 25,3.6548947,0.3939393939,0.663723675,,,,
3,2,2,1,5,3,4,4,4,3,4,1000,39,3,18,F,18 to 25,3.39441077,0.3636363636,0.5986026925,,,,
3,2,2,1,5,5,5,5,5,5,5,261,42,2,19,F,18 to 25,5,0.4545454545,1,,,,
3,2,2,1,5,5,5,5,5,4,5,1000,43,1,20,F,18 to 25,4.54008276,0.4848484848,0.88502069,,,,
3,2,2,1,5,5,4,4,4,5,5,983,45,3,21,F,18 to 25,4.66567985,0.5454545455,0.9164199625,,,,
3,2,2,1,5,2,4,3,5,4,3,1000,44,3,22,M,12 to 17,3.65336758,0.5151515152,0.663341895,,,,
3,2,2,1,5,2,3,3,2,3,3,1000,44,4,23,F,12 to 17,2.73072218,0.5151515152,0.432680545,,,,
3,2,2,1,5,3,3,4,4,5,3,1000,42,4,24,F,18 to 25,4.16224396,0.4545454545,0.79056099,,,,
4,1,1,2,4,1,5,5,2,3,3,1000,56,5,1,F,18 to 25,3.00647883,0.8787878788,0.5016197075,,,,
4,1,1,2,4,5,4,4,5,5,5,1000,53,5,2,F,18 to 25,4.78928568,0.7878787879,0.94732142,,,,
4,1,1,2,4,1,4,4,4,5,4,1000,53,3,3,M,18 to 25,4.02290127,0.7878787879,0.7557253175,,,,
4,1,1,2,4,2,3,3,4,3,4,1000,51,3,4,F,12 to 17,3.03802446,0.7272727273,0.509506115,,,,
4,1,1,2,4,1,2,2,2,2,2,1000,57,4,5,M,18 to 25,1.85432801,0.9090909091,0.2135820025,,,,
4,1,1,2,4,1,3,3,3,3,3,1000,48,4,6,F,18 to 25,2.70865602,0.6363636364,0.427164005,,,,
4,1,1,2,4,1,3,3,5,4,4,1000,52,4,7,F,18 to 25,3.47587554,0.7575757576,0.618968885,,,,
4,1,1,2,4,3,4,5,5,5,5,1000,53,3,8,M,12 to 17,4.61674535,0.7878787879,0.9041863375,,,,
4,1,1,2,4,1,5,5,5,5,5,398,59,5,9,F,18 to 25,4.41731204,0.9696969697,0.85432801,,,,
4,1,1,2,4,1,3,4,4,5,3,1000,55,4,10,F,12 to 17,3.87089998,0.8484848485,0.717724995,,,,
