LEVEL,AA,AG,AP,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGG,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
10,3,3,1,2,4,1,2,2,2,1000,42,4,5,M,A,2.166666667,0.4,0.2916666667,0.3458333333,1,1,0
11,2,3,2,5,4,5,4,5,4,1000,44,5,1,F,A,4.5,0.48,0.875,0.6775,0.5,1,0.5
11,2,3,2,5,5,5,5,5,5,1000,45,5,2,F,A,5,0.52,1,0.76,0.5,1,0.5
11,2,3,2,4,4,3,5,5,4,1000,42,3,3,M,A,4.166666667,0.4,0.7916666667,0.5958333333,0.5,1,0.5
11,2,3,2,1,4,4,4,2,3,1000,45,3,4,F,T,3,0.52,0.5,0.51,0.5,1,0.5
11,2,3,2,5,5,4,4,4,4,1000,40,4,5,M,A,4.333333333,0.32,0.8333333333,0.5766666667,0.5,1,0.5
12,3,1,2,5,2,5,5,5,5,1000,32,5,1,F,A,4.5,0,0.875,0.4375,1,0,0.5
12,3,1,2,5,5,5,5,5,5,1000,56,5,2,F,A,5,0.96,1,0.98,1,0,0.5
12,3,1,2,3,2,3,3,5,4,1000,52,3,3,M,A,3.333333333,0.8,0.5833333333,0.6916666667,1,0,0.5
12,3,1,2,3,3,3,3,3,3,1000,52,3,4,F,T,3,0.8,0.5,0.65,1,0,0.5
12,3,1,2,5,2,3,4,4,4,1000,53,4,5,M,A,3.666666667,0.84,0.6666666667,0.7533333333,1,0,0.5
13,2,2,2,3,4,5,5,5,5,1000,46,5,1,F,A,4.5,0.56,0.875,0.7175,0.5,0.5,0.5
13,2,2,2,5,5,5,5,5,5,1000,43,5,2,F,A,5,0.44,1,0.72,0.5,0.5,0.5
13,2,2,2,4,3,3,5,5,4,1000,45,3,3,M,A,4,0.52,0.75,0.635,0.5,0.5,0.5
13,2,2,2,1,3,3,3,2,2,616,35,3,4,F,T,2.333333333,0.12,0.3333333333,0.2266666667,0.5,0.5,0.5
13,2,2,2,5,5,5,5,4,5,1000,45,4,5,M,A,4.833333333,0.52,0.9583333333,0.7391666667,0.5,0.5,0.5
14,2,1,1,5,5,1,5,5,5,1000,55,5,1,F,A,4.333333333,0.92,0.8333333333,0.8766666667,0.5,0,0
14,2,1,1,4,5,5,4,4,4,1000,53,5,2,F,A,4.333333333,0.84,0.8333333333,0.8366666667,0.5,0,0
14,2,1,1,1,3,3,5,5,4,886,53,3,3,M,A,3.5,0.84,0.625,0.7325,0.5,0,0
14,2,1,1,1,2,2,1,1,1,321,41,3,4,F,T,1.333333333,0.36,0.08333333333,0.2216666667,0.5,0,0
14,2,1,1,4,3,3,1,1,1,1000,53,4,5,M,A,2.166666667,0.84,0.2916666667,0.5658333333,0.5,0,0
15,2,1,3,5,5,5,4,4,4,1000,52,5,1,F,A,4.5,0.8,0.875,0.8375,0.5,0,1
15,2,1,3,5,4,4,5,5,5,1000,52,5,2,F,A,4.666666667,0.8,0.9166666667,0.8583333333,0.5,0,1
15,2,1,3,3,3,4,5,5,4,1000,51,3,3,M,A,4,0.76,0.75,0.755,0.5,0,1
15,2,1,3,1,4,3,3,2,3,1000,44,3,4,F,T,2.666666667,0.48,0.4166666667,0.4483333333,0.5,0,1
15,2,1,3,4,3,2,2,2,2,1000,53,4,5,M,A,2.5,0.84,0.375,0.6075,0.5,0,1
16,2,2,3,5,5,4,4,5,4,1000,44,5,1,F,A,4.5,0.48,0.875,0.6775,0.5,0.5,1
16,2,2,3,5,5,5,5,5,5,1000,43,5,2,F,A,5,0.44,1,0.72,0.5,0.5,1
16,2,2,3,3,4,4,5,4,4,806,44,3,3,M,A,4,0.48,0.75,0.615,0.5,0.5,1
16,2,2,3,1,4,4,3,2,3,1000,43,3,4,F,T,2.833333333,0.44,0.4583333333,0.4491666667,0.5,0.5,1
16,2,2,3,5,3,2,2,1,2,1000,44,4,5,M,A,2.5,0.48,0.375,0.4275,0.5,0.5,1
17,2,1,2,5,5,5,5,5,5,1000,51,5,1,F,A,5,0.76,1,0.88,0.5,0,0.5
17,2,1,2,5,4,4,4,4,5,1000,51,5,2,F,A,4.333333333,0.76,0.8333333333,0.7966666667,0.5,0,0.5
17,2,1,2,4,3,4,5,5,4,1000,54,3,3,M,A,4.166666667,0.88,0.7916666667,0.8358333333,0.5,0,0.5
17,2,1,2,1,4,3,3,2,3,1000,53,3,4,F,T,2.666666667,0.84,0.4166666667,0.6283333333,0.5,0,0.5
17,2,1,2,4,3,5,4,4,4,1000,54,4,5,M,A,4,0.88,0.75,0.815,0.5,0,0.5
18,2,3,1,5,4,2,5,5,5,1000,45,5,1,F,A,4.333333333,0.52,0.8333333333,0.6766666667,0.5,1,0
18,2,3,1,5,5,5,5,5,5,1000,41,5,2,F,A,5,0.36,1,0.68,0.5,1,0
18,2,3,1,3,3,4,5,5,4,1000,44,3,3,M,A,4,0.48,0.75,0.615,0.5,1,0
18,2,3,1,1,4,3,3,2,2,329,40,3,4,F,T,2.5,0.32,0.375,0.3475,0.5,1,0
18,2,3,1,4,4,4,4,3,4,1000,45,4,5,M,A,3.833333333,0.52,0.7083333333,0.6141666667,0.5,1,0
19,1,1,1,1,3,5,3,5,4,1000,52,5,1,F,A,3.5,0.8,0.625,0.7125,0,0,0
19,1,1,1,3,3,3,4,3,3,1000,40,5,2,F,A,3.166666667,0.32,0.5416666667,0.4308333333,0,0,0
19,1,1,1,1,3,3,3,5,4,1000,53,3,3,M,A,3.166666667,0.84,0.5416666667,0.6908333333,0,0,0
19,1,1,1,2,3,2,2,3,2,1000,53,3,4,F,T,2.333333333,0.84,0.3333333333,0.5866666667,0,0,0
