LEVEL,AA,AG,AP,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGG
20,3,1,3,1,4,5,5,5,5,1000,46,5,1,F,A
20,3,1,3,3,3,3,4,4,3,1000,52,5,2,F,A
20,3,1,3,2,3,4,5,5,4,1000,52,3,3,M,A
20,3,1,3,2,3,3,3,4,3,1000,55,3,4,F,T
20,3,1,3,1,1,5,4,4,3,809,55,4,5,M,A
21,1,2,1,1,4,1,5,5,5,1000,45,5,1,F,A
21,1,2,1,3,5,5,4,4,4,1000,43,5,2,F,A
21,1,2,1,2,3,3,5,5,4,1000,44,3,3,M,A
21,1,2,1,1,3,2,2,3,2,1000,42,3,4,F,T
21,1,2,1,1,5,4,3,3,3,1000,44,4,5,M,A
22,1,3,1,1,4,5,5,5,5,1000,44,5,1,F,A
22,1,3,1,3,5,5,4,4,4,1000,43,5,2,F,A
22,1,3,1,2,3,4,5,4,4,1000,43,3,3,M,A
22,1,3,1,1,2,2,2,2,2,1000,44,3,4,F,T
22,1,3,1,1,5,1,2,1,2,1000,42,4,5,M,A
23,3,2,3,5,4,5,5,5,5,1000,44,5,1,F,A
23,3,2,3,5,5,5,5,5,5,1000,44,5,2,F,A
23,3,2,3,3,4,4,5,5,4,1000,43,3,3,M,A
23,3,2,3,3,3,3,3,3,3,1000,44,3,4,F,T
23,3,2,3,4,4,5,4,3,4,944,43,4,5,M,A
24,3,2,2,1,5,5,5,4,5,1000,45,5,1,F,A
24,3,2,2,3,5,5,4,4,4,1000,43,5,2,F,A
24,3,2,2,2,4,4,4,5,4,1000,44,3,3,M,A
24,3,2,2,4,4,3,4,4,3,1000,43,3,4,F,T
24,3,2,2,2,4,4,4,4,4,1000,42,4,5,M,A
25,3,1,1,2,4,5,5,5,5,1000,51,5,1,F,A
25,3,1,1,3,5,5,4,4,4,1000,52,5,2,F,A
25,3,1,1,2,4,4,4,5,4,1000,52,3,3,M,A
25,3,1,1,3,3,2,3,2,3,1000,55,3,4,F,T
25,3,1,1,1,2,1,1,2,1,997,53,4,5,M,A
26,1,3,2,1,3,5,5,4,4,1000,44,5,1,F,A
26,1,3,2,3,5,5,4,4,4,1000,43,5,2,F,A
26,1,3,2,2,4,3,4,4,4,1000,43,3,3,M,A
26,1,3,2,1,3,3,4,3,3,1000,43,3,4,F,T
26,1,3,2,1,5,5,5,5,4,1000,42,4,5,M,A
27,1,3,3,1,3,5,5,3,4,1000,43,5,1,F,A
27,1,3,3,3,5,5,4,4,4,1000,44,5,2,F,A
27,1,3,3,2,5,5,5,5,5,1000,43,3,3,M,A
27,1,3,3,1,3,3,3,3,2,952,44,3,4,F,T
27,1,3,3,1,5,4,4,4,4,1000,43,4,5,M,A
